Comment_Text,Predicted_Label,True_Label,Variation
Jake's run deeper into the maze at hour 90 — giving up strategy or genuinely lost? Hard to tell.,0,1,var_2_normalising_casing_space
"91 hours and 14 minutes. Out of 100, that's cutting it closer than you'd think for a winner.",0,1,var_2_normalising_casing_space
Priya won. Donating half to her family. That's one way to use it — plenty of other valid choices too.,2,1,var_2_normalising_casing_space
"""Even BIGGER"" next time — I'll wait and see. The claim is made regularly on this channel.",0,1,var_2_normalising_casing_space
No phones and no GPS in a maze that size for 100 hours. Reasonable rules for the challenge format.,0,1,var_2_normalising_casing_space
First time watching this channel. Decent production. Will probably watch another video before forming an opinion.,2,1,var_2_normalising_casing_space
This is nice I guess,2,1,var_2_normalising_casing_space
rewatching specifically for this detail: no phones and no GPS in a maze that size for 100 hours. Reasonable rules for the challenge format. 🧐🤔 i think,0,1,var_2_normalising_casing_space
fr hour 50 and three people fr left. the math was starting to look inevitable 💪 and i stand by that,1,2,var_2_normalising_casing_space
honestly even the early eliminations were handled well. marcus leaving was emotional but not exploitative fr fr,1,2,var_2_normalising_casing_space
can we please talk about actually the camera kept cutting away from priya's map during the most interesting moments. infuriating edit full stop,1,0,var_2_normalising_casing_space
Jake deserved some compensation after the rearrangement! honestly,2,0,var_2_normalising_casing_space
not gonna lie i think about tyler every time i feel like giving up on something hard. that ankle 💯,0,2,var_2_normalising_casing_space
not gonna lie tHE TWIST 🤯 no cap,0,2,var_2_normalising_casing_space
not sure but five contestants by hour 36. the attrition rate was faster than i expected — anyone know?,0,1,var_2_normalising_casing_space
fwiw this is nice I guess — curious about this,2,1,var_2_normalising_casing_space
getting bored of this format tbh smh,2,0,var_2_normalising_casing_space
marcus got very little screen time before the elimination. was there more footage that didn't make the cut,0,1,var_2_normalising_casing_space
twist 🤯 fr,1,2,var_2_normalising_casing_space
best twist of any challenge video i've seen all year no cap,0,2,var_2_normalising_casing_space
honestly jake's ending was anticlimactic 😞 honestly,2,0,var_2_normalising_casing_space
the budget went into the maze but not into contestant welfare protocols apparently,1,0,var_2_normalising_casing_space
honestly jake getting raided in his sleep is one of the great ironic moments in challenge history no cap,0,2,var_2_normalising_casing_space
argument was uncomfortable 😕 ngl,2,0,var_2_normalising_casing_space
changing the maze is just the producers deciding who wins based on who got lucky with their prep tbh,1,0,var_2_normalising_casing_space
am i the only one who's uncomfortable with marcus deserved at least a short follow-up segment. the show clearly had the footage full stop,1,0,var_2_normalising_casing_space
lowkey tyler go off 💪 and i stand by that,0,2,var_2_normalising_casing_space
like the dan-sofia conflict was resolved so quickly and neatly that it clearly served the edit rather than the competition. in a real isolated environment that conflict would have had lasting consequences. this one lasted exactly long enough to fill a dramatic beat 😞 imo,1,0,var_2_normalising_casing_space
genuinely question whether any of this is as unscripted as it's presented to be tbh,1,0,var_2_normalising_casing_space
genuinely 50k 🎉 💯,1,2,var_2_normalising_casing_space
i can't believe pRIYA saying she'll donate half... that's what this kind of money should do ngl,0,2,var_2_normalising_casing_space
not sure but jake losing his mapped progress after the rearrangement basically sealed his fate from that point. — curious about this — the data here is interesting,0,1,var_2_normalising_casing_space
"the selection ratio is 200,000 to 1. the screening process is a significant part of the story — just an observation",0,1,var_2_normalising_casing_space
jake's cache strategy was rational within the rules as he understood them. whether the rules allowed for it seems ambiguous,0,1,var_2_normalising_casing_space
fwiw jake losing his mapped progress after the rearrangement basically sealed his fate from that point. 🧐 imo,0,1,var_2_normalising_casing_space
not gonna lie tHE TWIST 🤯 no cap,0,2,var_2_normalising_casing_space
"not sure but at hour 50 with three contestants and three different strategies the challenge becomes a natural experiment in navigation approaches. priya had a map, tyler had an alliance, Jake had supplies. the outcome at hour 91 tells us something about which of those resources mattered most 🧐🤔 — curious about this",2,1,var_2_normalising_casing_space
other channels attempt this format but this is the gold standard — tyler walking on that ankle for hours just to not quit 😤💙,0,2,var_2_normalising_casing_space
the alliance strategy that formed in minute 3 shaped literally every subsequent event,1,2,var_2_normalising_casing_space
can we all agree that i can't believe jake's early game was legitimately impressive even if it fell apart later! 💯,0,2,var_2_normalising_casing_space
i can't believe 50k for second place is so generous honestly. TYLER set for a while,0,2,var_2_normalising_casing_space
,,,
Tyler not quitting with a sprained ankle bro I would've tapped out in seconds 😤 respect,0,2,var_3_all_no_emoji
She said she's donating half to her family I'm not crying YOU'RE crying 😭❤️,0,2,var_3_all_no_emoji
Three people left and I was on the edge of my seat the whole time 🔥🔥 goated video,0,2,var_3_all_no_emoji
That confrontation scene at 12 minutes was peak drama idc what anyone says 😤💯,1,2,var_3_all_no_emoji
Hour 90 was SO slow to watch. The pacing completely fell apart in the last third of the video 😮‍💨,2,0,var_3_all_no_emoji
Hour 12 and the first elimination already. Didn't expect the challenge to move this fast tbh,2,1,var_3_all_no_emoji
10:28 that's diabolical!! Still not sure if I'm on Jake's side or not after that scene,2,1,var_3_all_no_emoji
Jake's cache being raided — not sure whether to feel bad for him or not given what he did earlier,0,1,var_3_all_no_emoji
Jake losing his mapped progress after the rearrangement basically sealed his fate from that point.,0,1,var_3_all_no_emoji
Jake's run deeper into the maze at hour 90 — giving up strategy or genuinely lost? Hard to tell.,0,1,var_3_all_no_emoji
"91 hours and 14 minutes. Out of 100, that's cutting it closer than you'd think for a winner.",0,1,var_3_all_no_emoji
Priya won. Donating half to her family. That's one way to use it — plenty of other valid choices too.,2,1,var_3_all_no_emoji
"Three football fields. That's roughly 27,0__ELONG__ square feet of maze. Pretty significant scale honestly.",0,1,var_3_all_no_emoji
"""Even BIGGER"" next time — I'll wait and see. The claim is made regularly on this channel.",0,1,var_3_all_no_emoji
No phones and no GPS in a maze that size for 100 hours. Reasonable rules for the challenge format.,0,1,var_3_all_no_emoji
First time watching this channel. Decent production. Will probably watch another video before forming an opinion.,2,1,var_3_all_no_emoji
This is nice I guess,2,1,var_3_all_no_emoji
rewatching specifically for this detail: no phones and no GPS in a maze that size for 100 hours. Reasonable rules for the challenge format. 🧐🤔 i think,0,1,var_3_all_no_emoji
fr hour 50 and three people fr left. the math was starting to look inevitable 💪 and i stand by that,1,2,var_3_all_no_emoji
honestly even the early eliminations were handled well. marcus leaving was emotional but not exploitative fr fr,1,2,var_3_all_no_emoji
can we please talk about actually the camera kept cutting away from priya's map during the most interesting moments. infuriating edit full stop,1,0,var_3_all_no_emoji
this is what the 100-hour challenge format was always supposed to be — the casting in this was actually perfect each person was distinct no cap,0,2,var_3_all_no_emoji
ngl the prize structure in this video is fair tbh. first AND second both win honestly,0,2,var_3_all_no_emoji
Jake deserved some compensation after the rearrangement! honestly,2,0,var_3_all_no_emoji
not gonna lie i think about tyler every time i feel like giving up on something hard. that ankle 💯,0,2,var_3_all_no_emoji
not gonna lie tHE TWIST 🤯 no cap,0,2,var_3_all_no_emoji
fr fr the scale of this maze is genuinely hard to comprehend 😭😭🔥 fr,0,2,var_3_all_no_emoji
not sure but five contestants by hour 36. the attrition rate was faster than i expected — anyone know?,0,1,var_3_all_no_emoji
fwiw this is nice I guess — curious about this,2,1,var_3_all_no_emoji
getting bored of this format tbh smh,2,0,var_3_all_no_emoji
marcus got very little screen time before the elimination. was there more footage that didn't make the cut,0,1,var_3_all_no_emoji
twist 🤯 fr,1,2,var_3_all_no_emoji
best twist of any challenge video i've seen all year no cap,0,2,var_3_all_no_emoji
the budget went into the maze but not into contestant welfare protocols apparently,1,0,var_3_all_no_emoji
honestly jake getting raided in his sleep is one of the great ironic moments in challenge history no cap,0,2,var_3_all_no_emoji
argument was uncomfortable 😕 ngl,2,0,var_3_all_no_emoji
changing the maze is just the producers deciding who wins based on who got lucky with their prep tbh,1,0,var_3_all_no_emoji
am i the only one who's uncomfortable with marcus deserved at least a short follow-up segment. the show clearly had the footage full stop,1,0,var_3_all_no_emoji
like the dan-sofia conflict was resolved so quickly and neatly that it clearly served the edit rather than the competition. in a real isolated environment that conflict would have had lasting consequences. this one lasted exactly long enough to fill a dramatic beat 😞 imo,1,0,var_3_all_no_emoji
genuinely question whether any of this is as unscripted as it's presented to be tbh,1,0,var_3_all_no_emoji
genuinely 50k 🎉 💯,1,2,var_3_all_no_emoji
i can't believe pRIYA saying she'll donate half.__ELONG__ that's what this kind of money should do ngl,0,2,var_3_all_no_emoji
not sure but jake losing his mapped progress after the rearrangement basically sealed his fate from that point. — curious about this — the data here is interesting,0,1,var_3_all_no_emoji
"the selection ratio is 200,0__ELONG__ to 1. the screening process is a significant part of the story — just an observation",0,1,var_3_all_no_emoji
jake's cache strategy was rational within the rules as he understood them. whether the rules allowed for it seems ambiguous,0,1,var_3_all_no_emoji
fwiw jake losing his mapped progress after the rearrangement basically sealed his fate from that point. 🧐 imo,0,1,var_3_all_no_emoji
not gonna lie tHE TWIST 🤯 no cap,0,2,var_3_all_no_emoji
fr fr the scale of this maze is genuinely hard to comprehend 😭😭🔥 fr,0,2,var_3_all_no_emoji
"not sure but at hour 50 with three contestants and three different strategies the challenge becomes a natural experiment in navigation approaches. priya had a map, tyler had an alliance, Jake had supplies. the outcome at hour 91 tells us something about which of those resources mattered most 🧐🤔 — curious about this",2,1,var_3_all_no_emoji
other channels attempt this format but this is the gold standard — tyler walking on that ankle for hours just to not quit 😤💙,0,2,var_3_all_no_emoji
the alliance strategy that formed in minute 3 shaped literally every subsequent event,1,2,var_3_all_no_emoji
can we all agree that i can't believe jake's early game was legitimately impressive even if it fell apart later! 💯,0,2,var_3_all_no_emoji
i can't believe 50k for second place is so generous honestly. TYLER set for a while,0,2,var_3_all_no_emoji
,,,
Tyler not quitting with a sprained ankle bro I would've tapped out in seconds emoji_face_with_steam_from_nose respect,0,2,var_4_all_no_hash_no_elong
She said she's donating half to her family I'm not crying YOU'RE crying emoji_loudly_crying_face emoji_red_heart emoji_unknown,0,2,var_4_all_no_hash_no_elong
Already subscribed and the bell is ON. Best channel on YouTube no cap emoji_raising_hands,1,2,var_4_all_no_hash_no_elong
The overnight maze rearrangement twist was CRAZYYYY I did not see that coming at all emoji_face_screaming_in_fear,0,2,var_4_all_no_hash_no_elong
That confrontation scene at 12 minutes was peak drama idc what anyone says emoji_face_with_steam_from_nose emoji_hundred_points,1,2,var_4_all_no_hash_no_elong
Jake hiding the supplies from everyone is genuinely one of the most selfish things I've ever seen emoji_face_with_steam_from_nose,2,0,var_4_all_no_hash_no_elong
Hour 90 was SO slow to watch. The pacing completely fell apart in the last third of the video emoji_face_with_open_mouth ‍ emoji_unknown,2,0,var_4_all_no_hash_no_elong
Hour 12 and the first elimination already. Didn't expect the challenge to move this fast tbh,2,1,var_4_all_no_hash_no_elong
10:28 that's diabolical!! Still not sure if I'm on Jake's side or not after that scene,2,1,var_4_all_no_hash_no_elong
Five people at hour 36. That's actually a faster attrition rate than I expected for a 100-hour challenge.,0,1,var_4_all_no_hash_no_elong
Jake's cache being raided — not sure whether to feel bad for him or not given what he did earlier,0,1,var_4_all_no_hash_no_elong
At the 50-hour mark the three remaining contestants had very different strategies. Interesting to compare.,0,1,var_4_all_no_hash_no_elong
Jake losing his mapped progress after the rearrangement basically sealed his fate from that point.,0,1,var_4_all_no_hash_no_elong
He kept going with the injury. Whether that was brave or just risky depends on how you look at it.,2,1,var_4_all_no_hash_no_elong
Jake's run deeper into the maze at hour 90 — giving up strategy or genuinely lost? Hard to tell.,0,1,var_4_all_no_hash_no_elong
"91 hours and 14 minutes. Out of 100, that's cutting it closer than you'd think for a winner.",0,1,var_4_all_no_hash_no_elong
Priya won. Donating half to her family. That's one way to use it — plenty of other valid choices too.,2,1,var_4_all_no_hash_no_elong
No phones and no GPS in a maze that size for 100 hours. Reasonable rules for the challenge format.,0,1,var_4_all_no_hash_no_elong
First time watching this channel. Decent production. Will probably watch another video before forming an opinion.,2,1,var_4_all_no_hash_no_elong
This is nice I guess,2,1,var_4_all_no_hash_no_elong
fr hour 50 and three people fr left. the math was starting to look inevitable emoji_flexed_biceps and i stand by that,1,2,var_4_all_no_hash_no_elong
honestly even the early eliminations were handled well. marcus leaving was emotional but not exploitative fr fr,1,2,var_4_all_no_hash_no_elong
can we please talk about actually the camera kept cutting away from priya's map during the most interesting moments. infuriating edit full stop,1,0,var_4_all_no_hash_no_elong
Jake deserved some compensation after the rearrangement! honestly,2,0,var_4_all_no_hash_no_elong
not gonna lie tHE TWIST emoji_exploding_head no cap,0,2,var_4_all_no_hash_no_elong
fr fr the scale of this maze is genuinely hard to comprehend emoji_loudly_crying_face emoji_loudly_crying_face emoji_fire fr,0,2,var_4_all_no_hash_no_elong
not sure but five contestants by hour 36. the attrition rate was faster than i expected — anyone know?,0,1,var_4_all_no_hash_no_elong
fwiw this is nice I guess — curious about this,2,1,var_4_all_no_hash_no_elong
getting bored of this format tbh smh,2,0,var_4_all_no_hash_no_elong
marcus got very little screen time before the elimination. was there more footage that didn't make the cut,0,1,var_4_all_no_hash_no_elong
twist emoji_exploding_head fr,1,2,var_4_all_no_hash_no_elong
jake vs the new maze was genuinely sad but also very funny emoji_face_with_tears_of_joy,1,2,var_4_all_no_hash_no_elong
best twist of any challenge video i've seen all year no cap,0,2,var_4_all_no_hash_no_elong
literally the way the comments section is all priya right now emoji_fire emoji_fire we all felt that,0,2,var_4_all_no_hash_no_elong
the budget went into the maze but not into contestant welfare protocols apparently,1,0,var_4_all_no_hash_no_elong
honestly jake getting raided in his sleep is one of the great ironic moments in challenge history no cap,0,2,var_4_all_no_hash_no_elong
changing the maze is just the producers deciding who wins based on who got lucky with their prep tbh,1,0,var_4_all_no_hash_no_elong
lowkey tyler go off emoji_flexed_biceps and i stand by that,1,2,var_4_all_no_hash_no_elong
like the dan-sofia conflict was resolved so quickly and neatly that it clearly served the edit rather than the competition. in a real isolated environment that conflict would have had lasting consequences. this one lasted exactly long enough to fill a dramatic beat emoji_disappointed_face imo,1,0,var_4_all_no_hash_no_elong
genuinely question whether any of this is as unscripted as it's presented to be tbh,1,0,var_4_all_no_hash_no_elong
i can't believe pRIYA saying she'll donate half... that's what this kind of money should do ngl,0,2,var_4_all_no_hash_no_elong
"the selection ratio is 200,000 to 1. the screening process is a significant part of the story — just an observation",0,1,var_4_all_no_hash_no_elong
jake's cache strategy was rational within the rules as he understood them. whether the rules allowed for it seems ambiguous,0,1,var_4_all_no_hash_no_elong
fwiw jake losing his mapped progress after the rearrangement basically sealed his fate from that point. emoji_face_with_monocle imo,0,1,var_4_all_no_hash_no_elong
not gonna lie tHE TWIST emoji_exploding_head no cap,0,2,var_4_all_no_hash_no_elong
fr fr the scale of this maze is genuinely hard to comprehend emoji_loudly_crying_face emoji_loudly_crying_face emoji_fire fr,0,2,var_4_all_no_hash_no_elong
other channels attempt this format but this is the gold standard — tyler walking on that ankle for hours just to not quit emoji_face_with_steam_from_nose emoji_blue_heart,1,2,var_4_all_no_hash_no_elong
the alliance strategy that formed in minute 3 shaped literally every subsequent event,1,2,var_4_all_no_hash_no_elong
can we all agree that i can't believe jake's early game was legitimately impressive even if it fell apart later! emoji_hundred_points,0,2,var_4_all_no_hash_no_elong
i can't believe 50k for second place is so generous honestly. TYLER set for a while,0,2,var_4_all_no_hash_no_elong
,,,
tyler not quitting with a sprained ankle bro i would've tapped out in seconds emoji_face_with_steam_from_nose respect,0,2,var_5_all_lowercased
she said she's donating half to her family i'm not crying you're crying emoji_loudly_crying_face emoji_red_heart emoji_unknown,0,2,var_5_all_lowercased
three people left and i was on the edge of my seat the whole time emoji_fire emoji_fire goated video,0,2,var_5_all_lowercased
already subscribed and the bell is on. best channel on youtube no cap emoji_raising_hands,1,2,var_5_all_lowercased
the overnight maze rearrangement twist was crazy__elong__ i did not see that coming at all emoji_face_screaming_in_fear,0,2,var_5_all_lowercased
that confrontation scene at 12 minutes was peak drama idc what anyone says emoji_face_with_steam_from_nose emoji_hundred_points,1,2,var_5_all_lowercased
hour 90 was so slow to watch. the pacing completely fell apart in the last third of the video emoji_face_with_open_mouth ‍ emoji_unknown,2,0,var_5_all_lowercased
hour 12 and the first elimination already. didn't expect the challenge to move this fast tbh,2,1,var_5_all_lowercased
10:28 that's diabolical!! still not sure if i'm on jake's side or not after that scene,0,1,var_5_all_lowercased
five people at hour 36. that's actually a faster attrition rate than i expected for a 100-hour challenge.,0,1,var_5_all_lowercased
jake's cache being raided — not sure whether to feel bad for him or not given what he did earlier,0,1,var_5_all_lowercased
jake losing his mapped progress after the rearrangement basically sealed his fate from that point.,0,1,var_5_all_lowercased
he kept going with the injury. whether that was brave or just risky depends on how you look at it.,0,1,var_5_all_lowercased
jake's run deeper into the maze at hour 90 — giving up strategy or genuinely lost? hard to tell.,0,1,var_5_all_lowercased
"91 hours and 14 minutes. out of 100, that's cutting it closer than you'd think for a winner.",2,1,var_5_all_lowercased
priya won. donating half to her family. that's one way to use it — plenty of other valid choices too.,2,1,var_5_all_lowercased
fr hour 50 and three people fr left. the math was starting to look inevitable emoji_flexed_biceps and i stand by that,1,2,var_5_all_lowercased
honestly even the early eliminations were handled well. marcus leaving was emotional but not exploitative fr fr,0,2,var_5_all_lowercased
can we please talk about actually the camera kept cutting away from priya's map during the most interesting moments. infuriating edit full stop,1,0,var_5_all_lowercased
this is what the 100-hour challenge format was always supposed to be — the casting in this was actually perfect each person was distinct no cap,0,2,var_5_all_lowercased
not gonna lie the twist emoji_exploding_head no cap,0,2,var_5_all_lowercased
fr fr the scale of this maze is genuinely hard to comprehend emoji_loudly_crying_face emoji_loudly_crying_face emoji_fire fr,0,2,var_5_all_lowercased
fwiw this is nice i guess — curious about this,2,1,var_5_all_lowercased
getting bored of this format tbh smh,2,0,var_5_all_lowercased
marcus got very little screen time before the elimination. was there more footage that didn't make the cut,0,1,var_5_all_lowercased
twist emoji_exploding_head fr,1,2,var_5_all_lowercased
jake vs the new maze was genuinely sad but also very funny emoji_face_with_tears_of_joy,1,2,var_5_all_lowercased
best twist of any challenge video i've seen all year no cap,0,2,var_5_all_lowercased
literally the way the comments section is all priya right now emoji_fire emoji_fire we all felt that,0,2,var_5_all_lowercased
the budget went into the maze but not into contestant welfare protocols apparently,1,0,var_5_all_lowercased
honestly jake getting raided in his sleep is one of the great ironic moments in challenge history no cap,0,2,var_5_all_lowercased
the confrontation scene is the clearest point in the video where the competition stopped being about navigation and became about social dynamics,2,1,var_5_all_lowercased
changing the maze is just the producers deciding who wins based on who got lucky with their prep tbh,2,0,var_5_all_lowercased
genuinely question whether any of this is as unscripted as it's presented to be tbh,1,0,var_5_all_lowercased
every title is i survived x hours for $y amount. the formula is showing its age honestly,2,0,var_5_all_lowercased
i can't believe priya saying she'll donate half.__elong__ that's what this kind of money should do ngl,0,2,var_5_all_lowercased
not sure but jake losing his mapped progress after the rearrangement basically sealed his fate from that point. — curious about this — the data here is interesting,0,1,var_5_all_lowercased
"the selection ratio is 200,0__elong__ to 1. the screening process is a significant part of the story — just an observation",0,1,var_5_all_lowercased
jake's cache strategy was rational within the rules as he understood them. whether the rules allowed for it seems ambiguous,0,1,var_5_all_lowercased
fwiw jake losing his mapped progress after the rearrangement basically sealed his fate from that point. emoji_face_with_monocle imo,0,1,var_5_all_lowercased
not gonna lie the twist emoji_exploding_head no cap,0,2,var_5_all_lowercased
fr fr the scale of this maze is genuinely hard to comprehend emoji_loudly_crying_face emoji_loudly_crying_face emoji_fire fr,0,2,var_5_all_lowercased
other channels attempt this format but this is the gold standard — tyler walking on that ankle for hours just to not quit emoji_face_with_steam_from_nose emoji_blue_heart,0,2,var_5_all_lowercased
can we all agree that i can't believe jake's early game was legitimately impressive even if it fell apart later! emoji_hundred_points,0,2,var_5_all_lowercased
